物品ID,物品名称,显示名称,品质,分类,标签,描述,口径,最大堆叠,默认堆叠,单价,可堆叠,可使用,重量,耐久度
70,Honey,蜂蜜,3,Food,Food,很甜很甜。,,3,1,320,是,否,0.68,0
71,Ketchup,番茄酱,2,Food,Food,酸酸甜甜的番茄酱。不好吃。,,3,1,127,是,否,0.51,0
72,Book,书,1,Information,Information,胡扯的书。,,5,1,449,是,否,0.49,0
73,Letter,信件,1,Information,Information,一封信件。,,10,1,242,是,否,0.07,0
74,Key_BlueHouse,安全屋隔间钥匙,3,Key,Key,能够打开仓库区中安全屋隔间的钥匙。,,1,1,101,否,否,0.20,0
75,AirplaneToy,飞机模型,1,Luxury,Luxury,航空公司售卖的飞机模型，做工劣质。,,1,1,998,否,否,0.88,0
76,Ball,足球,1,Luxury,Luxury,气不太够的足球。,,1,1,845,否,否,0.51,0
77,BicyleToy,自行车模型,2,Luxury,Luxury;Collection,精致的自行车模型。,,1,1,1432,否,否,0.90,0
78,Cannon,大炮,1,Luxury,Luxury,玩具大炮。,,1,1,1045,否,否,0.77,0
79,Compass,指南针,3,Luxury,Luxury;Collection,精致的指南针。,,1,1,3070,否,否,0.21,0
80,Dice 2,骰子,2,Luxury,Luxury,一个外表十分正常的骰子，但是感觉有点偏坠。,,10,1,1570,是,否,0.40,0
81,Dice,骰子,2,Luxury,Luxury,一个正常的骰子。,,10,1,1195,是,否,0.05,0
82,Fish,玩具鱼,1,Luxury,Luxury,浓浓的塑料味。,,1,1,895,否,否,0.20,0
83,Watch,怀表,4,Luxury,Luxury,银色的怀表。,,1,1,4718,否,否,0.40,0
84,Egg,鸭蛋,1,Food,Food,没人要的蛋。,,4,1,87,是,否,0.10,0
85,Heat,铝热剂,3,Tool,Tool,非常不易燃。,,1,1,559,否,否,0.25,0
86,Propane,丙烷,3,Tool,Tool,装满丙烷的罐子。,,1,1,1006,否,否,2.93,0
87,Rope,绳子,2,Tool,Tool,攀登用的绳子。,,1,1,200,否,否,1.03,0
88,Drugs,一堆药,1,Medic,Medic,不能吃，里面什么都有。,,50,1,127,是,否,0.21,0
89,Lv,输液药品,2,Medic,Medic,一些静脉注射用的药品。,,20,1,192,是,否,0.48,0
90,Broom,扫帚,99,Tool,Tool,普通的扫帚。,,1,1,258,否,否,1.00,0
91,Driver,平头螺丝刀,2,Tool,Tool,平头螺丝刀。,,1,1,237,否,否,0.40,0
92,ElectricSaw,电锯,9,Tool,Tool,小巧的电锯。,,1,1,375,否,否,3.00,0
93,GasCanL,金属桶,5,Tool,Tool,盛装汽油的金属桶。,,1,1,3060,否,否,5.95,0
94,GasCanS,塑料桶,4,Tool,Tool,盛装汽油的塑料桶。,,1,1,1799,否,否,3.00,0
95,HammerL,大锤子,4,Tool,Tool;MeleeWeapon;DontDropOnDeadInSlot,装修利器。,,1,1,2313,否,否,6.67,0
96,HammerS,锤子,2,Tool,Tool;MeleeWeapon;DontDropOnDeadInSlot,砸钉子好用。,,1,1,459,否,否,1.07,0
97,Lantern,煤油灯,4,Tool,Tool,没油了。,,1,1,566,否,否,1.02,0
98,Shovel,铲子,3,Tool,Tool;MeleeWeapon;DontDropOnDeadInSlot,曾经有一位骑士用它打遍天下无敌手。但不算是一个好的武器。,,1,1,459,否,否,1.53,0
99,Telescope,望远镜,4,Tool,Tool,坏掉的望远镜，但镜片还是好的。,,1,1,689,否,否,0.52,0
100,Trap,捕兽陷阱,3,Explosive,Explosive;Tool,算是一块好废铁。,,1,1,205,否,否,0.80,0
101,Wrench03,撬棍,3,Tool,Tool;MeleeWeapon;DontDropOnDeadInSlot,挥舞起来可以穿透几乎所有的护甲，在物理学上非常合理。,,1,1,282,否,否,1.48,0
102,1_AccessoryTemplate,配件模板,9,Accessory,Accessory,可增加精确度。,,1,1,17000,否,否,1.00,0
103,CowMask,奶牛面具,2,Helmat,Helmat;Equipment;DecorateEquipment;Repairable,外表十分凶狠的奶牛头面具。,,1,1,327,否,否,0.38,30
104,Hat,牛仔帽,2,Helmat,Helmat;Equipment;DecorateEquipment;Repairable,牛仔帽。,,1,1,167,否,否,0.12,30
105,CocoMilk,可可奶,1,Food,Food;Drink,带有巧克力味道的牛奶。,,1,1,124,否,否,0.19,0
106,Soda,苏打水,1,Food,Food;Drink,清爽的苏打水。,,1,1,102,否,否,0.37,0
107,Waterbottle,水壶,4,Food,Food;Drink,行军水壶，吨吨吨。,,1,1,869,否,否,0.99,200
108,Whisky,威士忌,5,Food,Food;Drink,上流，但是脱水。,,1,1,3431,否,是,0.71,0
109,Pen,钢笔,3,Daily,Daily,没有墨水的钢笔。,,1,1,1368,否,否,0.10,0
110,Scissors,剪刀,1,Daily,Daily,手工剪刀。,,1,1,128,否,否,0.11,0
111,Trophy,奖杯,4,Luxury,Luxury;Daily;Collection,金色的奖杯，有点掉漆。,,1,1,2837,否,否,2.03,0
112,Mike,麦克风,2,Electric,Electric,卡拉OK麦克风，唱歌让人快乐。,,1,1,355,否,否,0.41,0
113,Radio,收音机,2,Electric,Electric,看起来像玩具，但确实也是个收音机。,,1,1,482,否,否,1.04,0
114,TOMSUNGPhone,TOMSUNG手机,3,Electric,Electric,TOMSUNG手机，看起来很久了。,,1,1,1063,否,否,0.31,0
115,Yogurt,酸奶,3,Food,Food,疯味酸奶。,,3,1,324,是,否,0.25,0
116,Newspaper,报纸,2,Information,Information,一份报纸，有年头了。,,10,1,347,是,否,0.25,0
117,Note,笔记,2,Information,Information,上面记着各种让人看不懂的公式。,,5,1,761,是,否,0.16,0
118,Lipstick,口红,5,Luxury,Luxury,看起来很贵的口红，不知道是什么色号。,,1,1,6587,否,否,0.10,0
119,Ring,金戒指,4,Luxury,Luxury,上面镶嵌着黄色的宝石。有点旧，但感觉价值不菲。,,1,1,3760,否,否,0.30,0
120,RingToy,花花戒指,1,Luxury,Luxury;Collection,看起来像玩具，但是沉甸甸的。,,1,1,1678,否,否,0.14,0
121,Robot,智能机器人,5,Luxury,Luxury,没电了。,,1,1,5783,否,否,2.09,0
122,Rocket,玩具火箭,1,Luxury,Luxury,造型非常没有创意。,,1,1,875,否,否,0.58,0
123,Skull,头骨饰品,9,Luxury,Luxury;Special,不知道是什么生物的头骨。,,1,1,675,否,否,0.50,0
124,Tambourine,手鼓,1,Luxury,Luxury,声音依然非常好听。,,1,1,1265,否,否,0.76,0
125,Trumpet,小号,4,Luxury,Luxury;Collection,吹起来应该没问题。,,1,1,4015,否,否,2.88,0
126,Xylophone,木琴,1,Luxury,Luxury;Collection,看起来音调不是很全。,,1,1,984,否,否,1.98,0
127,Wheel,轮胎,3,Tool,Tool,打打气就能用。,,1,1,484,否,否,2.86,0
128,Yarn,线,2,Daily,Daily,缝制衣服用的线。,,10,1,270,是,否,0.20,0
129,Pumpkin,南瓜,3,Helmat,Helmat;Equipment;DecorateEquipment;Repairable;Food,真的就是个南瓜。,,1,1,420,否,否,0.33,30
130,Basket,购物框,2,Daily,Daily,装不了多少东西。,,1,1,176,否,否,1.00,0
131,Cup,杯子,1,Daily,Daily,喝水用的杯子。,,1,1,177,否,否,0.15,0
132,Cake,蛋糕,3,Food,Food,不知道放了多久，但是看起来依然很好吃。,,3,1,406,是,否,0.20,0
133,Carrot,胡萝卜,1,Food,Food;Crop,富含营养，看起来很新鲜。,,3,1,120,是,是,0.12,0
134,Bone,骨头玩具,1,Luxury,Luxury,不知道给谁玩的。,,20,1,780,是,否,0.20,0
135,Heart,心,4,Luxury,Luxury,心形的饰物。,,1,1,2552,否,否,0.35,0
136,Injection,注射器,2,Medic,Medic,没用过的注射器。,,20,1,295,是,否,0.10,0
137,Injection_A,黄针,3,Injector,Injector;Medic,提升25%移动速度，持续120s。,,3,1,629,是,是,0.20,0
138,HeadLantern,头灯,3,Helmat,Helmat;Equipment;DecorateEquipment;Repairable,让你看的更远。,,1,1,238,否,否,0.15,30
139,Bullet_Template,子弹模板,9,Bullet,Bullet,子弹。,AR_L,60,30,60,是,否,0.03,0
140,Bullet_AR_L_Normal,L-普通弹,999,Bullet,Bullet,制式大口径子弹。,AR,180,30,4,是,否,0.02,0
141,Bullet_AR_L_Burn,L-燃烧弹,999,Bullet,Bullet;Element,装填可持续燃烧的弹药，造成灼烧。有概率点燃。,AR,180,30,18,是,否,0.02,0
142,Bullet_AR_L_Piercing3,L-穿甲弹,999,Bullet,Bullet,能够穿透一定的防护。,AR,180,30,10,是,否,0.02,0
143,Bullet_AR_S_Normal,S-普通弹,999,Bullet,Bullet,制式小口径子弹。,SMG,240,30,3,是,否,0.01,0
144,Bullet_AR_S_Dumdums,S-达姆弹,999,Bullet,Bullet,对肉体造成更高的伤害，但更难以穿透护甲。,SMG,240,30,10,是,否,0.01,0
145,Bullet_AR_S_Burn,S-燃烧弹,999,Bullet,Bullet;Element,装填可持续燃烧的弹药，造成灼烧。有概率点燃。,SMG,240,30,15,是,否,0.01,0
146,Bullet_SHOT_Normal,霰弹-鹿弹,999,Bullet,Bullet,打猎用的鹿弹，杀伤距离较近。,SHT,80,20,11,是,否,0.04,0
153,Quest_Letter_Explorer,探索者的信,2,Quest,Quest,先行来到Duckov的探索者的信件。,,1,1,1,否,否,0.20,0
154,Key_Dormitory103,宿舍楼103钥匙,1,Key,Key,一把宿舍楼的钥匙。也许可以打开103的门。,,1,1,350,否,否,0.20,0
155,Key_Dormitory106,宿舍楼106钥匙,2,Key,Key,一把宿舍楼的钥匙。也许可以打开106的门。,,1,1,578,否,否,0.20,0
157,Bullet_AR_L_Poison,L-涂毒弹,999,Bullet,Bullet;Element,子弹表面涂抹毒药。,AR,180,30,15,是,否,0.02,0
158,Bullet_AR_L_Piercing5,L-高级穿甲弹,999,Bullet,Bullet,能够穿透大多数防护。,AR,180,30,35,是,否,0.02,0
159,Bullet_AR_S_Piercing2,S-穿甲弹,999,Bullet,Bullet,能够穿透较低等级的护甲。,SMG,240,30,8,是,否,0.01,0
160,Bullet_AR_S_Piercing4,S-高级穿甲弹,999,Bullet,Bullet,能够穿透更高等级的护甲。,SMG,240,30,18,是,否,0.01,0
161,Bullet_SHOT_Piranha,霰弹-食人鱼,999,Bullet,Bullet,穿甲能力弱，但对肉体造成更大伤害。,SHT,80,20,30,是,否,0.04,0
162,Bullet_SHOT_Burn,霰弹-龙息,999,Bullet,Bullet;Element,造成大量灼烧伤害。,SHT,80,20,50,是,否,0.04,0
163,Bullet_SHOT_Piercing4,霰弹-箭形弹,999,Bullet,Bullet,有更高的穿甲等级。,SHT,80,20,55,是,否,0.04,0
164,Bullet_SHOT_Electric,霰弹-电击,999,Bullet,Bullet;Element,电能装药，能够造成电击伤害。,SHT,80,20,60,是,否,0.04,0
165,Bullet_Sniper_Normal,狙击-普通弹,999,Bullet,Bullet,普通的狙击弹药。,SNP,30,10,40,是,否,0.05,0
166,Bullet_Sniper_Piercing3,狙击-穿甲弹,999,Bullet,Bullet,能够穿透较低等级的护甲。,SNP,30,10,80,是,否,0.05,0
167,Bullet_Sniper_Electric,狙击-电击弹,999,Bullet,Bullet;Element,电能装药，能够造成电击伤害。,SNP,30,10,180,是,否,0.05,0
168,Bullet_Sniper_Space,狙击-空间弹,999,Bullet,Bullet;Element,具有空间属性的狙击弹药。,SNP,30,10,600,是,否,0.05,0
169,Bullet_Sniper_Piercing5,狙击-高级穿甲弹,999,Bullet,Bullet,能够穿透大多数护甲。,SNP,30,10,250,是,否,0.05,0
174,Grip_AS_Lv_1,突击握把 Lv1,999,Accessory,Accessory;Grip,增强稳定性。,,1,1,380,否,否,0.40,0
175,Grip_AS_Lv_2,突击握把 Lv2,999,Accessory,Accessory;Grip,增强稳定性。,,1,1,900,否,否,0.40,0
176,Grip_AS_Lv_3,突击握把 Lv3,999,Accessory,Accessory;Grip,增强稳定性。,,1,1,2100,否,否,0.40,0
177,Grip_SP_Lv_1,快拆握把 Lv1,999,Accessory,Accessory;Grip,增强稳定性。,,1,1,380,否,否,0.40,0
178,Grip_SP_Lv_2,快拆握把 Lv2,999,Accessory,Accessory;Grip,增强稳定性。,,1,1,900,否,否,0.40,0
179,Grip_SP_Lv_3,快拆握把 Lv3,999,Accessory,Accessory;Grip,增强稳定性。,,1,1,2100,否,否,0.40,0
180,Grip_Verticle_Lv_1,垂直握把 Lv1,999,Accessory,Accessory;Grip,增强稳定性。,,1,1,380,否,否,0.40,0
181,Grip_Verticle_Lv_2,垂直握把 Lv2,999,Accessory,Accessory;Grip,增强稳定性。,,1,1,900,否,否,0.40,0
182,Grip_Verticle_Lv_3,垂直握把 Lv3,999,Accessory,Accessory;Grip,增强稳定性。,,1,1,2100,否,否,0.40,0
183,Muzzle_L_Type_1,大口径制退器 Lv.1,999,Accessory,Accessory;Muzzle;GunType_AR,可增加精确度。,,1,1,380,否,否,0.25,0
184,Muzzle_L_Type_2,大口径制退器 Lv.2,999,Accessory,Accessory;Muzzle;GunType_AR,可增加精确度。,,1,1,900,否,否,0.25,0
185,Muzzle_L_Type_3,大口径制退器 Lv.3,999,Accessory,Accessory;Muzzle;GunType_AR,可增加精确度。,,1,1,2100,否,否,0.25,0
186,Muzzle_Shot_Type_1,霰弹枪集束器 Lv.1,999,Accessory,Accessory;Muzzle;GunType_SHT,可增加精确度。,,1,1,380,否,否,0.25,0
187,Muzzle_Shot_Type_2,霰弹枪集束器 Lv.2,999,Accessory,Accessory;Muzzle;GunType_SHT,可增加精确度。,,1,1,900,否,否,0.25,0
188,Muzzle_Shot_Type_3,霰弹枪集束器 Lv.3,999,Accessory,Accessory;Muzzle;GunType_SHT,可增加精确度。,,1,1,2100,否,否,0.25,0
189,Muzzle_Sniper_Type_1,狙击枪消音器 Lv.1,999,Accessory,Accessory;Muzzle;GunType_SNP,可增加精确度。,,1,1,380,否,否,0.25,0
190,Muzzle_Sniper_Type_2,狙击枪消音器 Lv.2,999,Accessory,Accessory;Muzzle;GunType_SNP,可增加精确度。,,1,1,900,否,否,0.25,0
191,Muzzle_Sniper_Type_3,狙击枪消音器 Lv.3,999,Accessory,Accessory;Muzzle;GunType_SNP,可增加精确度。,,1,1,2100,否,否,0.25,0
192,Muzzle_S_Type_1,小口径制退器 Lv.1,999,Accessory,Accessory;Muzzle;GunType_SMG,可增加精确度。,,1,1,380,否,否,0.25,0
193,Muzzle_S_Type_2,小口径制退器 Lv.2,999,Accessory,Accessory;Muzzle;GunType_SMG,可增加精确度。,,1,1,900,否,否,0.25,0
194,Muzzle_S_Type_3,小口径制退器 Lv.3,999,Accessory,Accessory;Muzzle;GunType_SMG,可增加精确度。,,1,1,2100,否,否,0.25,0
195,Scope_4X_Lv_1,4倍镜 Lv1,999,Accessory,Accessory;Scope,可增加精确度。,,1,1,380,否,否,0.50,0
196,Scope_4X_Lv_2,4倍镜 Lv2,999,Accessory,Accessory;Scope,可增加精确度。,,1,1,900,否,否,0.50,0
197,Scope_4X_Lv_3,4倍镜 Lv3,999,Accessory,Accessory;Scope,可增加精确度。,,1,1,2100,否,否,0.50,0
198,Scope_8X_Lv_1,8倍镜 Lv1,999,Accessory,Accessory;Scope,可增加精确度。,,1,1,380,否,否,0.80,0
199,Scope_8X_Lv_2,8倍镜 Lv2,999,Accessory,Accessory;Scope,可增加精确度。,,1,1,900,否,否,0.80,0
200,Scope_8X_Lv_3,8倍镜 Lv3,999,Accessory,Accessory;Scope,可增加精确度。,,1,1,2100,否,否,0.80,0
201,Scope_Digit_Lv_1,数字瞄具 Lv1,999,Accessory,Accessory;Scope,可增加精确度。,,1,1,380,否,否,0.25,0
202,Scope_Digit_Lv_2,数字瞄具 Lv2,999,Accessory,Accessory;Scope,可增加精确度。,,1,1,900,否,否,0.25,0
203,Scope_Digit_Lv_3,数字瞄具 Lv3,999,Accessory,Accessory;Scope,可增加精确度。,,1,1,2100,否,否,0.25,0
204,Scope_Holo_Lv_1,全息瞄具 Lv1,999,Accessory,Accessory;Scope,可增加精确度。,,1,1,380,否,否,0.25,0
205,Scope_Holo_Lv_2,全息瞄具 Lv2,999,Accessory,Accessory;Scope,可增加精确度。,,1,1,900,否,否,0.25,0
206,Scope_Holo_Lv_3,全息瞄具 Lv3,999,Accessory,Accessory;Scope,可增加精确度。,,1,1,2100,否,否,0.25,0
207,Scope_Long_Lv_1,快速瞄具 Lv1,999,Accessory,Accessory;Scope,可增加精确度。,,1,1,380,否,否,0.25,0
208,Scope_Long_Lv_2,快速瞄具 Lv2,999,Accessory,Accessory;Scope,可增加精确度。,,1,1,900,否,否,0.25,0
209,Scope_Long_Lv_3,快速瞄具 Lv3,999,Accessory,Accessory;Scope,可增加精确度。,,1,1,2100,否,否,0.25,0
210,Scope_RedDot_Lv_1,红点瞄具 Lv1,999,Accessory,Accessory;Scope,可增加精确度。,,1,1,380,否,否,0.25,0
211,Scope_RedDot_Lv_2,红点瞄具 Lv2,999,Accessory,Accessory;Scope,可增加精确度。,,1,1,900,否,否,0.25,0
212,Scope_RedDot_Lv_3,红点瞄具 Lv3,999,Accessory,Accessory;Scope,可增加精确度。,,1,1,2100,否,否,0.25,0
213,Stock_Rifle_Lv_1,步枪枪托 Lv1,999,Accessory,Accessory;Stock;GunType_AR,增强稳定性。,,1,1,380,否,否,0.70,0
214,Stock_Rifle_Lv_2,步枪枪托 Lv2,999,Accessory,Accessory;Stock;GunType_AR,增强稳定性。,,1,1,900,否,否,0.70,0
215,Stock_Rifle_Lv_3,步枪枪托 Lv3,999,Accessory,Accessory;Stock;GunType_AR,增强稳定性。,,1,1,2100,否,否,0.70,0
216,Stock_Shot_Lv_1,霰弹枪托 Lv1,999,Accessory,Accessory;Stock;GunType_SHT,增强稳定性。,,1,1,380,否,否,0.70,0
217,Stock_Shot_Lv_2,霰弹枪托 Lv2,999,Accessory,Accessory;Stock;GunType_SHT,增强稳定性。,,1,1,900,否,否,0.70,0
218,Stock_Shot_Lv_3,霰弹枪托 Lv3,999,Accessory,Accessory;Stock;GunType_SHT,增强稳定性。,,1,1,2100,否,否,0.70,0
219,Stock_SMG_Lv_1,冲锋枪枪托 Lv1,999,Accessory,Accessory;Stock;GunType_SMG,增强稳定性。,,1,1,380,否,否,0.70,0
220,Stock_SMG_Lv_2,冲锋枪枪托 Lv2,999,Accessory,Accessory;Stock;GunType_SMG,增强稳定性。,,1,1,900,否,否,0.70,0
221,Stock_SMG_Lv_3,冲锋枪枪托 Lv3,999,Accessory,Accessory;Stock;GunType_SMG,增强稳定性。,,1,1,2100,否,否,0.70,0
222,Stock_Sniper_Lv_1,狙击枪枪托 Lv1,999,Accessory,Accessory;Stock;GunType_SNP,增强稳定性。,,1,1,380,否,否,0.70,0
223,Stock_Sniper_Lv_2,狙击枪枪托 Lv2,999,Accessory,Accessory;Stock;GunType_SNP,增强稳定性。,,1,1,900,否,否,0.70,0
224,Stock_Sniper_Lv_3,狙击枪枪托 Lv3,999,Accessory,Accessory;Stock;GunType_SNP,增强稳定性。,,1,1,2100,否,否,0.70,0
225,Tec_Lazer_Lv_1,战术激光 Lv1,999,Accessory,Accessory;TecEquip,更加精准的射击。,,1,1,380,否,否,0.15,0
226,Tec_Lazer_Lv_2,战术激光 Lv2,999,Accessory,Accessory;TecEquip,更加精准的射击。,,1,1,900,否,否,0.15,0
227,Tec_Lazer_Lv_3,战术激光 Lv3,999,Accessory,Accessory;TecEquip,更加精准的射击。,,1,1,2100,否,否,0.15,0
